,Word,Frequency
0,yourfoodlabVerified•FollowLiked,8
1,by,58
2,sanayapithawalla,1
3,and,181
4,othersyourfoodlabVerifiedMumbai,1
5,Style,4
6,Sandwich,3
7,Chef,7
8,@sanjyotkeerAs,1
9,a,100
10,kid,4
11,I,68
12,have,25
13,grown,2
14,up,13
15,in,71
16,Mumbai,10
17,there,7
18,would,6
19,not,14
20,be,20
21,single,2
22,week,4
23,were,7
24,haven’t,2
25,had,7
26,sada,2
27,sandwich,13
28,or,16
29,toast,8
30,sandwich.,3
31,Followed,2
32,bread,5
33,butter,5
34,chutney,6
35,that,20
36,extra,6
37,piece,2
38,of,90
39,boiled,2
40,potato,2
41,with,59
42,some,12
43,masala😜.,2
44,remember,9
45,so,33
46,many,13
47,conversations,2
48,which,12
49,happened,2
50,over,3
51,these,8
52,sandwiches,3
53,🙈,2
54,memories,3
55,as,8
56,used,11
57,to,117
58,try,18
59,replicate,2
60,the,132
61,recipe,39
62,at,22
63,home.,5
64,still,3
65,telling,3
66,mom,2
67,buy,2
68,me,19
69,street,4
70,style,4
71,toaster,2
72,make,19
73,this,78
74,home,5
75,just,16
76,like,16
77,how,7
78,really,9
79,talented,2
80,chefs,2
81,did,3
82,it,51
83,on,34
84,streets.,2
85,This,8
86,is,85
87,result,2
88,trials,2
89,took,2
90,quite,2
91,while,5
92,crack,3
93,masala,3
94,perfect,5
95,recipe!,5
96,So,11
97,enjoy,5
98,one,18
99,am,7
100,sure,7
101,you,55
102,all,25
103,will,10
104,love,19
105,it!!!!!,2
106,The,6
107,famous,5
108,“Bombay,2
109,Masala,3
110,Toast,3
111,Sandwich”,2
112,also,11
113,our,5
114,soon!,2
115,stay,5
116,tuned,2
117,for,58
118,it!,5
119,P.S:,2
120,close,2
121,my,44
122,heart,4
123,pav,2
124,bhaji,2
125,"recipe,",2
126,lots,2
127,nostalgia!,2
128,dedicate,2
129,sister,2
130,because,6
131,it’s,4
132,her,3
133,favorite,8
134,too!,2
135,are,38
136,going,6
137,crave,2
138,once,4
139,watch,3
140,video,9
141,@anishabachher,2
142,❤️17habhay_gupta_😍,1
143,good.,3
144,You,5
145,wibs,1
146,plastic,2
147,authentic,2
148,stal,1
149,vibes15h14,1
150,likesReplyView,99
151,replies,191
152,(3)silent_eyes_3873Apka,1
153,dekhke,1
154,ke,8
155,khau,1
156,galli,1
157,ki,4
158,bahot,1
159,yaad,3
160,ayi😋😋❤️15h2,1
161,(3)savitrimehtaOmg,1
162,aapne,1
163,dila,1
164,di.,1
165,Wish,1
166,was,12
167,India,2
168,now.,1
169,🤣🤣🤣,1
170,absolutely,2
171,yummy,9
172,tempting.15h2,1
173,(2)hungerswayI,1
174,adore,2
175,your,59
176,way,4
177,making,6
178,videos.,1
179,Perfect,1
180,combination,1
181,light,2
182,background,1
183,🔥15h1,1
184,likeReplyView,65
185,(1)sunshine_sparkle_shoryI,1
186,can,16
187,totally,1
188,relate..,1
189,being,5
190,mumbaikar..,1
191,it's,5
192,time,7
193,favourite..,1
194,sandwich..,1
195,eat,1
196,"breakfast,",1
197,"lunch,",1
198,"dinner,",1
199,evening,1
200,snacks,3
201,in-between,1
202,meals..,1
203,no,8
204,matter,1
205,full,1
206,"are,",1
207,there's,1
208,always,6
209,space,1
210,special,9
211,Nowadays,1
212,"home,",1
213,but,9
214,bestest,1
215,eating,3
216,from,6
217,an,16
218,uncle,3
219,Nariman,1
220,point.,1
221,learnt,1
222,him..❤️15h2,1
223,(1)mprachieeU,1
224,r,2
225,genius,1
226,...,8
227,watching,2
228,videos,8
229,😍15h1,1
230,(1)utsavii_179He,1
231,even,4
232,Wibs,1
233,wrapper,1
234,feelz😍🔥😂,1
235,God,2
236,I'm,1
237,hungry,2
238,now!16h1,1
239,(1)wowniki01You,1
240,made,12
241,miss,3
242,Mumbai.,1
243,missing,2
244,travel,1
245,seeing,3
246,family,5
247,members.,1
248,And,5
249,food.,2
250,Surely,2
251,soon,1
252,feel,3
253,Thank,3
254,you:16h1,1
255,(1)the_aditisrivastavaOh,1
256,god...,1
257,i,8
258,m,4
259,saw,1
260,🤦‍♀️16h1,1
261,(2)chilliesnguavaOmg,1
262,good..,1
263,reminds,1
264,college,2
265,days,27
266,n,4
267,best,4
268,we,16
269,outside,2
270,St,1
271,Xavier's..🔥🔥😁16h1,1
272,(1)afroz_qureshi92It’s,1
273,Bombay,2
274,ever16h1,1
275,(1)anujsingh518I,1
276,dishes,2
277,too😍,1
278,they,6
279,truly,1
280,delicious,8
281,may,2
282,you16h1,1
283,(1)17,1
284,hours,3
285,agoPost,33
286,yourfoodlabVerified•FollowPaid,2
287,partnership,2
288,morphyrichardsindiaLiked,2
289,coffeeandmess,7
290,othersyourfoodlabVerifiedQuick,1
291,&,25
292,easy,9
293,Toasties,1
294,-,15
295,4,2
296,ways,2
297,Microwave,4
298,Oven,2
299,@sanjyotkeerContest,2
300,Alert!,3
301,CookWithATwist,2
302,@morphyrichardsindia,5
303,Hello,3
304,people!,2
305,Hope,2
306,enjoying,4
307,monsoon,2
308,weather,2
309,"that,",2
310,comes,3
311,exciting,2
312,contest!,3
313,Race,2
314,kitchen,5
315,show,5
316,us,14
317,twist,5
318,choice,6
319,stand,5
320,chance,6
321,win,5
322,exquisite,2
323,Morphy,2
324,Richards,2
325,Oven.,2
326,To,3
327,enter,2
328,contest,4
329,–,1
330,1.,3
331,Cook,2
332,innovative,2
333,twist.,1
334,2.,2
335,Take,3
